sub_id,scan_age,sex
sub254,6.079452055,1
sub251,6.180821918,0
sub234,6.210958904,0
sub279,6.334246575,1
sub177,6.37260274,0
sub264,6.375342466,0
sub227,6.41369863,1
sub147,6.463013699,0
sub237,6.509589041,1
sub239,6.515068493,1
sub221,6.720547945,0
sub202,6.726027397,0
sub272,6.745205479,0
sub212,6.778082192,0
sub132,6.802739726,0
sub290,6.926027397,1
sub258,6.928767123,1
sub182,6.942465753,0
sub33,7.024657534,0
sub222,7.054794521,1
sub40,7.060273973,0
sub177,7.071232877,0
sub86,7.104109589,1
sub300,7.109589041,1
sub161,7.134246575,1
sub253,7.156164384,1
sub231,7.164383562,0
sub152,7.216438356,1
sub234,7.230136986,0
sub69,7.235616438,1
sub100,7.252054795,0
sub251,7.252054795,0
sub193,7.268493151,0
sub235,7.287671233,1
sub55,7.317808219,1
sub167,7.326027397,0
sub143,7.353424658,0
sub302,7.356164384,1
sub313,7.361643836,0
sub142,7.383561644,1
sub136,7.465753425,0
sub189,7.487671233,0
sub229,7.487671233,0
sub237,7.528767123,1
sub145,7.547945205,0
sub147,7.564383562,0
sub221,7.567123288,0
sub259,7.6,1
sub208,7.619178082,0
sub239,7.635616438,1
sub227,7.638356164,1
sub91,7.654794521,1
sub107,7.734246575,0
sub87,7.736986301,1
sub150,7.81369863,1
sub96,7.819178082,0
sub110,7.84109589,0
sub130,7.865753425,0
sub201,7.876712329,1
sub161,7.898630137,1
sub224,7.917808219,0
sub222,7.920547945,1
sub140,7.926027397,0
sub296,7.931506849,0
sub85,7.942465753,0
sub146,7.942465753,1
sub111,7.945205479,1
sub244,7.967123288,1
sub225,7.994520548,0
sub134,8.019178082,1
sub45,8.038356164,1
sub105,8.068493151,0
sub40,8.076712329,0
sub195,8.087671233,1
sub66,8.131506849,1
sub84,8.134246575,0
sub241,8.142465753,1
sub226,8.15890411,0
sub236,8.164383562,1
sub70,8.167123288,0
sub217,8.167123288,1
sub198,8.208219178,0
sub144,8.219178082,0
sub56,8.24109589,0
sub275,8.243835616,1
sub143,8.249315068,0
sub129,8.252054795,1
sub193,8.287671233,0
sub78,8.290410959,1
sub65,8.315068493,1
sub53,8.317808219,1
sub214,8.317808219,1
sub136,8.328767123,0
sub95,8.356164384,0
sub13,8.37260274,0
sub247,8.380821918,1
sub93,8.383561644,0
sub299,8.38630137,0
sub270,8.410958904,0
sub204,8.419178082,0
sub112,8.430136986,1
sub121,8.432876712,1
sub262,8.435616438,1
sub145,8.44109589,0
sub74,8.449315068,0
sub54,8.452054795,0
sub108,8.452054795,1
sub252,8.452054795,0
sub119,8.460273973,1
sub301,8.468493151,1
sub32,8.484931507,1
sub163,8.484931507,0
sub142,8.493150685,1
sub153,8.495890411,0
sub128,8.498630137,0
sub50,8.506849315,1
sub192,8.509589041,1
sub116,8.520547945,1
sub63,8.523287671,1
sub73,8.547945205,0
sub44,8.57260274,1
sub208,8.575342466,0
sub248,8.58630137,1
sub188,8.605479452,0
sub223,8.61369863,1
sub199,8.616438356,1
sub157,8.64109589,1
sub184,8.643835616,0
sub159,8.646575342,0
sub91,8.652054795,1
sub110,8.679452055,0
sub280,8.704109589,0
sub97,8.723287671,0
sub168,8.723287671,1
sub166,8.731506849,0
sub102,8.734246575,0
sub90,8.750684932,1
sub140,8.750684932,0
sub23,8.756164384,1
sub79,8.77260274,0
sub111,8.783561644,1
sub282,8.783561644,0
sub42,8.802739726,0
sub135,8.810958904,0
sub261,8.81369863,1
sub87,8.830136986,1
sub134,8.832876712,1
sub213,8.832876712,1
sub18,8.882191781,0
sub85,8.882191781,0
sub255,8.882191781,0
sub126,8.890410959,1
sub31,8.901369863,0
sub77,8.945205479,0
sub195,8.95890411,1
sub200,8.95890411,0
sub125,8.964383562,0
sub186,8.964383562,1
sub138,8.967123288,1
sub263,8.983561644,0
sub21,8.98630137,1
sub311,8.991780822,1
sub218,9.016438356,1
sub22,9.021917808,0
sub164,9.035616438,0
sub304,9.035616438,0
sub244,9.038356164,1
sub233,9.04109589,1
sub96,9.065753425,0
sub35,9.068493151,1
sub84,9.073972603,0
sub103,9.073972603,1
sub246,9.079452055,1
sub26,9.082191781,0
sub179,9.087671233,1
sub214,9.087671233,1
sub38,9.090410959,0
sub98,9.098630137,0
sub217,9.147945205,1
sub230,9.156164384,1
sub198,9.164383562,0
sub219,9.178082192,0
sub130,9.18630137,0
sub143,9.189041096,0
sub176,9.189041096,0
sub10,9.194520548,1
sub14,9.194520548,0
sub86,9.21369863,1
sub100,9.216438356,0
sub82,9.22739726,1
sub204,9.230136986,0
sub76,9.232876712,1
sub56,9.235616438,0
sub226,9.252054795,0
sub78,9.265753425,1
sub286,9.271232877,0
sub119,9.284931507,1
sub308,9.284931507,0
sub170,9.290410959,1
sub65,9.298630137,1
sub165,9.298630137,1
sub81,9.301369863,1
sub55,9.304109589,1
sub71,9.304109589,0
sub136,9.309589041,0
sub53,9.331506849,1
sub180,9.336986301,0
sub269,9.336986301,0
sub257,9.342465753,0
sub172,9.364383562,0
sub41,9.37260274,0
sub260,9.37260274,1
sub24,9.375342466,0
sub175,9.375342466,0
sub145,9.380821918,0
sub216,9.389041096,1
sub13,9.410958904,0
sub207,9.421917808,1
sub185,9.42739726,0
